batch_size,learning_rate,seed,epoch,train_loss,train_accuracy,test_accuracy,epoch_time
256,0.6,1,1,0.40329538753375094,87.60166666666667,97.46,21.45504665374756
256,0.6,1,2,0.1435500829936342,95.78333333333333,98.1,22.845722436904907
256,0.6,1,3,0.11853529520808383,96.46166666666667,98.36,32.172319173812866
256,0.6,1,4,0.10315893665154247,96.97666666666667,98.57,38.16161608695984
256,0.6,1,5,0.09308975296134644,97.315,98.62,41.230867862701416
256,0.6,1,6,0.08420066583029767,97.51166666666667,98.47,41.984129428863525
256,0.6,1,7,0.07920716198834966,97.58,98.62,42.41273784637451
256,0.6,1,8,0.07721843262936207,97.72666666666667,98.58,41.063294649124146
256,0.6,1,9,0.0722421873559026,97.85333333333334,98.85,43.672393798828125
256,0.6,1,10,0.07196071807770653,97.865,98.55,43.91808104515076
256,0.6,1,11,0.06706299277894358,97.97666666666667,98.84,43.35395622253418
256,0.6,1,12,0.06669881387831683,97.99666666666667,98.79,40.380250215530396
256,0.6,1,13,0.06480432037224478,98.12333333333333,98.8,35.69101023674011
256,0.6,1,14,0.06259944039258233,98.155,98.89,35.21397852897644
256,0.6,1,15,0.06025136864268558,98.18,98.86,32.72275424003601
,,,Average,,,,37.08521056175232
