batch_size,learning_rate,seed,epoch,train_loss,train_accuracy,test_accuracy,epoch_time
64,0.6,1,1,0.27773744188078336,91.54333333333334,98.05,94.90617513656616
64,0.6,1,2,0.1356063188527272,96.13166666666666,98.19,109.67831516265869
64,0.6,1,3,0.11473374735816681,96.66666666666667,98.46,95.32925629615784
64,0.6,1,4,0.10931540411342976,96.98,98.54,91.58928060531616
64,0.6,1,5,0.10410156511222082,97.04666666666667,98.58,91.9055860042572
64,0.6,1,6,0.10134595089273325,97.18833333333333,98.45,89.47095465660095
64,0.6,1,7,0.09509449032595012,97.34833333333333,98.69,76.18341040611267
64,0.6,1,8,0.09495932815498663,97.33833333333334,98.76,44.47116303443909
64,0.6,1,9,0.09326321924377584,97.45,98.67,24.20015025138855
64,0.6,1,10,0.09261099200101017,97.45666666666666,98.69,21.476381301879883
64,0.6,1,11,0.09331203012349037,97.425,98.8,22.950480937957764
64,0.6,1,12,0.08842954973750777,97.60333333333334,98.55,22.015827178955078
64,0.6,1,13,0.0882559282139742,97.56166666666667,98.67,22.6457462310791
64,0.6,1,14,0.08680153112220111,97.63,98.79,22.5733962059021
64,0.6,1,15,0.08249259258815046,97.675,98.81,22.995259284973145
,,,Average,,,,56.82609217961629
