batch_size,learning_rate,seed,epoch,train_loss,train_accuracy,test_accuracy,epoch_time
64,0.4,1,1,0.28221864150668274,91.41166666666666,97.89,107.99124097824097
64,0.4,1,2,0.1330932832103588,96.20166666666667,98.19,105.10201835632324
64,0.4,1,3,0.1112410832076832,96.79333333333334,98.46,90.21531987190247
64,0.4,1,4,0.10451334391787365,97.04,98.62,93.06672930717468
64,0.4,1,5,0.09989944409290111,97.21166666666667,98.63,90.65538692474365
64,0.4,1,6,0.09649697245472967,97.34333333333333,98.62,88.46764659881592
64,0.4,1,7,0.09094083323018072,97.47166666666666,98.57,55.383805990219116
64,0.4,1,8,0.09121275046390535,97.45,98.78,37.48063611984253
64,0.4,1,9,0.0887586850996143,97.60166666666667,98.65,21.89711332321167
64,0.4,1,10,0.09041197335326186,97.47666666666667,98.63,23.096201181411743
64,0.4,1,11,0.08989915631291742,97.42,98.7,23.42652201652527
64,0.4,1,12,0.08838016904621467,97.58666666666667,98.71,22.652207374572754
64,0.4,1,13,0.08556096351418549,97.64333333333333,98.63,23.122912168502808
64,0.4,1,14,0.0836645014584561,97.64666666666666,98.69,22.2555890083313
64,0.4,1,15,0.08406064062213489,97.71,98.78,19.971058130264282
,,,Average,,,,54.98562582333883
