batch_size ,learning_rate ,seed ,epoch   ,train_loss          ,train_accuracy    ,test_accuracy ,epoch_time
        64 ,          0.2 ,   1 ,1       ,0.3258579880394327  ,90.37             ,        97.54 ,110.91672253608704
        64 ,          0.2 ,   1 ,2       ,0.14138689481401082 ,95.79333333333334 ,        98.14 , 98.84828639030457
        64 ,          0.2 ,   1 ,3       ,0.11433264552685085 ,96.64166666666667 ,        98.39 , 91.27603101730347
        64 ,          0.2 ,   1 ,4       ,0.10479265237068221 ,97.025            ,        98.56 , 91.94833517074585
        64 ,          0.2 ,   1 ,5       ,0.09941267767419189 ,97.12             ,        98.59 , 89.5482714176178
        64 ,          0.2 ,   1 ,6       ,0.09253058191274664 ,97.33666666666667 ,        98.59 , 79.21733355522156
        64 ,          0.2 ,   1 ,7       ,0.08898978583975883 ,97.475            ,        98.58 , 47.708680868148804
        64 ,          0.2 ,   1 ,8       ,0.08708453903904062 ,97.44166666666666 ,        98.72 , 26.821633100509644
        64 ,          0.2 ,   1 ,9       ,0.08529991726812992 ,97.61833333333334 ,        98.54 , 21.97124671936035
        64 ,          0.2 ,   1 ,10      ,0.0834925353975355  ,97.58166666666666 ,        98.73 , 23.501763820648193
        64 ,          0.2 ,   1 ,11      ,0.08502363771121246 ,97.59166666666667 ,        98.7  , 22.592230558395386
        64 ,          0.2 ,   1 ,12      ,0.0826922290914281  ,97.69666666666667 ,        98.76 , 23.018266677856445
        64 ,          0.2 ,   1 ,13      ,0.08275070573937501 ,97.70833333333333 ,        98.61 , 22.685981035232544
        64 ,          0.2 ,   1 ,14      ,0.07919699843895477 ,97.74833333333333 ,        98.82 , 23.113628387451172
        64 ,          0.2 ,   1 ,15      ,0.08072684774585347 ,97.69             ,        98.76 , 16.00837755203247
           ,              ,     ,Average ,                    ,                  ,              , 52.61178592046102
