batch_size,learning_rate,seed,epoch,train_loss,train_accuracy,test_accuracy,epoch_time
128,0.4,1,1,0.3284135771903402,90.105,97.68,19.417937517166138
128,0.4,1,2,0.13969319869579475,96.00166666666667,98.24,26.09485363960266
128,0.4,1,3,0.11071318025881452,96.77166666666666,98.39,42.03538727760315
128,0.4,1,4,0.09926528735721765,97.11333333333333,98.59,52.989142179489136
128,0.4,1,5,0.09037457536588282,97.37333333333333,98.64,59.28792643547058
128,0.4,1,6,0.08517200594791757,97.52333333333333,98.7,58.4979031085968
128,0.4,1,7,0.07929475901366424,97.70833333333333,98.72,52.52056527137756
128,0.4,1,8,0.07743303511819954,97.72666666666667,98.81,48.78553009033203
128,0.4,1,9,0.07664097119013527,97.72333333333333,98.72,48.98241662979126
128,0.4,1,10,0.073722113239845,97.82,98.72,49.125
128,0.4,1,11,0.07331340674853036,97.91,98.82,47.953951358795166
128,0.4,1,12,0.06982754148753371,97.94666666666667,98.67,48.760048389434814
128,0.4,1,13,0.06955698106402178,98.02333333333333,98.77,48.42065906524658
128,0.4,1,14,0.06664151207817945,98.08833333333334,98.83,47.666457653045654
128,0.4,1,15,0.06683803145994129,98.06166666666667,98.94,38.5687575340271
,,,Average,,,,45.94043574333191
